,original_title,genre,release_year,runtime,prediction
0,Avatar,"Action,Adventure,Fantasy,Science Fiction",2009,162,0.0
1,Pirates of the Caribbean At World's End,"Adventure,Fantasy,Action",2007,169,1.0
2,Spectre,"Action,Adventure,Crime",2015,148,1.0
3,The Dark Knight Rises,"Action,Crime,Drama,Thriller",2012,165,1.0
4,John Carter,"Action,Adventure,Science Fiction",2012,132,1.0
5,SpiderMan 3,"Fantasy,Action,Adventure",2007,139,1.0
6,Tangled,"Animation,Family",2010,100,1.0
7,Avengers Age of Ultron,"Action,Adventure,Science Fiction",2015,141,0.0
8,Harry Potter and the HalfBlood Prince,"Adventure,Fantasy,Family",2009,153,1.0
9,Batman v Superman Dawn of Justice,"Action,Adventure,Fantasy",2016,151,1.0
10,Superman Returns,"Adventure,Fantasy,Action,Science Fiction",2006,154,1.0
11,Quantum of Solace,"Adventure,Action,Thriller,Crime",2008,106,1.0
12,Pirates of the Caribbean Dead Man's Chest,"Adventure,Fantasy,Action",2006,151,1.0
13,The Lone Ranger,"Action,Adventure,Western",2013,149,1.0
14,Man of Steel,"Action,Adventure,Fantasy,Science Fiction",2013,143,1.0
15,The Chronicles of Narnia Prince Caspian,"Adventure,Family,Fantasy",2008,150,1.0
16,The Avengers,"Science Fiction,Action,Adventure",2012,143,1.0
17,Pirates of the Caribbean On Stranger Tides,"Adventure,Action,Fantasy",2011,136,0.0
18,Men in Black 3,"Action,Comedy,Science Fiction",2012,106,1.0
19,The Hobbit The Battle of the Five Armies,"Action,Adventure,Fantasy",2014,144,1.0
20,The Amazing SpiderMan,"Action,Adventure,Fantasy",2012,136,1.0
21,Robin Hood,"Action,Adventure",2010,140,1.0
22,The Hobbit The Desolation of Smaug,"Adventure,Fantasy",2013,161,1.0
23,The Golden Compass,"Adventure,Fantasy",2007,113,0.0
24,King Kong,"Adventure,Drama,Action",2005,187,0.0
25,Titanic,"Drama,Romance,Thriller",1997,194,0.0
26,Captain America Civil War,"Adventure,Action,Science Fiction",2016,147,1.0
27,Battleship,"Thriller,Action,Adventure,Science Fiction",2012,131,0.0
28,Jurassic World,"Action,Adventure,Science Fiction,Thriller",2015,124,0.0
29,Skyfall,"Action,Adventure,Thriller",2012,143,1.0
30,SpiderMan 2,"Action,Adventure,Fantasy",2004,127,1.0
31,Iron Man 3,"Action,Adventure,Science Fiction",2013,130,0.0
32,Alice in Wonderland,"Family,Fantasy,Adventure",2010,108,0.0
33,XMen The Last Stand,"Adventure,Action,Science Fiction,Thriller",2006,104,1.0
34,Monsters University,"Animation,Family",2013,104,0.0
35,Transformers Revenge of the Fallen,"Science Fiction,Action,Adventure",2009,150,1.0
36,Oz The Great and Powerful,"Fantasy,Adventure,Family",2013,130,1.0
37,The Amazing SpiderMan 2,"Action,Adventure,Fantasy",2014,142,1.0
38,TRON Legacy,"Adventure,Action,Science Fiction",2010,125,1.0
39,Cars 2,"Animation,Family,Adventure,Comedy",2011,106,0.0
40,Green Lantern,"Adventure,Action,Thriller,Science Fiction",2011,114,0.0
41,Toy Story 3,"Animation,Family,Comedy",2010,103,1.0
42,Terminator Salvation,"Action,Science Fiction,Thriller",2009,115,0.0
43,Furious 7,Action,2015,137,1.0
44,World War Z,"Action,Drama,Horror,Science Fiction,Thriller",2013,116,0.0
45,XMen Days of Future Past,"Action,Adventure,Fantasy,Science Fiction",2014,131,0.0
46,Star Trek Into Darkness,"Action,Adventure,Science Fiction",2013,132,1.0
47,Jack the Giant Slayer,"Action,Family,Fantasy",2013,114,0.0
48,The Great Gatsby,"Drama,Romance",2013,143,0.0
49,Prince of Persia The Sands of Time,"Adventure,Fantasy,Action,Romance",2010,116,1.0
50,Pacific Rim,"Action,Science Fiction,Adventure",2013,131,1.0
51,Transformers Dark of the Moon,"Action,Science Fiction,Adventure",2011,154,1.0
52,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure,Action",2008,122,0.0
53,The Good Dinosaur,"Adventure,Animation,Family",2015,93,0.0
54,Brave,"Animation,Adventure,Comedy,Family,Action,Fantasy",2012,93,1.0
55,Star Trek Beyond,"Action,Adventure,Science Fiction",2016,122,1.0
56,WALL·E,"Animation,Family",2008,98,1.0
57,Rush Hour 3,"Action,Comedy,Crime,Thriller",2007,91,0.0
58,A Christmas Carol,"Animation,Drama",2009,96,0.0
59,Jupiter Ascending,"Science Fiction,Fantasy,Action,Adventure",2015,124,1.0
60,The Legend of Tarzan,"Action,Adventure",2016,109,1.0
61,"The Chronicles of Narnia The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy",2005,143,1.0
62,XMen Apocalypse,Science Fiction,2016,144,1.0
63,The Dark Knight,"Drama,Action,Crime,Thriller",2008,152,1.0
64,Up,"Animation,Comedy,Family,Adventure",2009,96,2.0
65,Monsters vs Aliens,"Animation,Family,Adventure,Science Fiction",2009,94,1.0
66,Iron Man,"Action,Science Fiction,Adventure",2008,126,0.0
67,Hugo,"Adventure,Drama,Family",2011,126,0.0
68,Wild Wild West,"Action,Adventure,Comedy,Science Fiction,Western",1999,106,0.0
69,Suicide Squad,"Action,Adventure,Crime,Fantasy,Science Fiction",2016,123,0.0
70,Evan Almighty,"Fantasy,Comedy,Family",2007,96,1.0
71,Edge of Tomorrow,"Action,Science Fiction",2014,113,1.0
72,Waterworld,"Adventure,Action",1995,135,0.0
73,G.I. Joe The Rise of Cobra,"Adventure,Action,Thriller,Science Fiction",2009,118,0.0
74,Inside Out,"Drama,Comedy,Animation,Family",2015,94,0.0
75,The Jungle Book,"Family,Adventure,Drama,Fantasy",2016,106,0.0
76,Iron Man 2,"Adventure,Action,Science Fiction",2010,124,0.0
77,Snow White and the Huntsman,"Adventure,Fantasy,Drama",2012,127,1.0
78,Maleficent,"Fantasy,Adventure,Action,Family,Romance",2014,97,1.0
79,Dawn of the Planet of the Apes,"Science Fiction,Action,Drama,Thriller",2014,130,0.0
80,47 Ronin,"Drama,Action,Adventure,Fantasy",2013,119,1.0
81,Captain America The Winter Soldier,"Action,Adventure,Science Fiction",2014,136,0.0
82,Shrek Forever After,"Comedy,Adventure,Fantasy,Animation,Family",2010,93,1.0
83,Big Hero 6,"Adventure,Family,Animation,Action,Comedy",2014,102,1.0
84,WreckIt Ralph,"Family,Animation,Comedy,Adventure",2012,108,1.0
85,The Polar Express,"Adventure,Animation,Family,Fantasy",2004,100,0.0
86,Independence Day Resurgence,"Action,Adventure,Science Fiction",2016,120,0.0
87,How to Train Your Dragon,"Fantasy,Adventure,Animation,Family",2010,98,1.0
88,Terminator 3 Rise of the Machines,"Action,Thriller,Science Fiction",2003,109,1.0
89,Guardians of the Galaxy,"Action,Science Fiction,Adventure",2014,121,1.0
90,Interstellar,"Adventure,Drama,Science Fiction",2014,169,0.0
91,The Hobbit An Unexpected Journey,"Adventure,Fantasy,Action",2012,169,1.0
92,The Fast and the Furious,"Action,Crime,Thriller",2001,106,1.0
93,The Curious Case of Benjamin Button,"Fantasy,Drama,Thriller,Mystery,Romance",2008,166,0.0
94,XMen First Class,"Action,Science Fiction,Adventure",2011,132,0.0
95,The Hunger Games Mockingjay  Part 2,"Action,Adventure,Science Fiction",2015,137,1.0
96,The Sorcerer's Apprentice,"Fantasy,Adventure,Action,Comedy,Drama",2010,109,1.0
97,Poseidon,"Adventure,Action,Drama,Thriller",2006,99,0.0
98,Alice Through the Looking Glass,Fantasy,2016,113,0.0
99,Shrek the Third,"Fantasy,Adventure,Animation,Comedy,Family",2007,93,1.0
100,Warcraft,"Action,Adventure,Fantasy",2016,123,0.0
101,Terminator Genisys,"Science Fiction,Action,Thriller,Adventure",2015,126,1.0
102,The Chronicles of Narnia The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",2010,113,1.0
103,Pearl Harbor,"History,Romance,War",2001,183,3.0
104,Transformers,"Adventure,Science Fiction,Action",2007,144,1.0
105,Alexander,"War,History,Action,Adventure,Drama,Romance",2004,175,0.0
106,Harry Potter and the Order of the Phoenix,"Adventure,Fantasy,Family,Mystery",2007,138,1.0
107,Harry Potter and the Goblet of Fire,"Adventure,Fantasy,Family",2005,157,1.0
108,Hancock,"Fantasy,Action",2008,92,1.0
109,I Am Legend,"Drama,Horror,Action,Thriller,Science Fiction",2007,101,0.0
110,Charlie and the Chocolate Factory,"Adventure,Comedy,Family,Fantasy",2005,115,0.0
111,Ratatouille,"Animation,Comedy,Family,Fantasy",2007,111,0.0
112,Batman Begins,"Action,Crime,Drama",2005,140,1.0
113,Madagascar Escape 2 Africa,"Family,Animation",2008,89,0.0
114,Night at the Museum Battle of the Smithsonian,"Adventure,Fantasy,Action,Comedy,Family",2009,105,1.0
115,XMen Origins Wolverine,"Adventure,Action,Thriller,Science Fiction",2009,107,1.0
116,The Matrix Revolutions,"Adventure,Action,Thriller,Science Fiction",2003,129,1.0
117,Frozen,"Animation,Adventure,Family",2013,102,3.0
118,The Matrix Reloaded,"Adventure,Action,Thriller,Science Fiction",2003,138,0.0
119,Thor The Dark World,"Action,Adventure,Fantasy",2013,112,1.0
120,Mad Max Fury Road,"Action,Adventure,Science Fiction,Thriller",2015,120,1.0
121,Angels & Demons,"Thriller,Mystery",2009,138,1.0
122,Thor,"Adventure,Fantasy,Action",2011,115,1.0
123,Bolt,"Animation,Family,Adventure,Comedy",2008,98,1.0
124,GForce,"Fantasy,Action,Adventure,Family,Comedy",2009,88,1.0
125,Wrath of the Titans,Adventure,2012,99,0.0
126,Dark Shadows,"Comedy,Fantasy",2012,113,1.0
127,Mission Impossible  Rogue Nation,"Action,Adventure,Thriller",2015,131,1.0
128,Bee Movie,"Family,Animation,Adventure,Comedy",2007,91,1.0
129,Kung Fu Panda 2,"Animation,Family",2011,91,1.0
130,The Last Airbender,"Action,Adventure,Family,Fantasy",2010,103,0.0
131,Mission Impossible III,"Adventure,Action,Thriller",2006,126,0.0
132,White House Down,"Action,Drama,Thriller",2013,131,1.0
133,Mars Needs Moms,"Adventure,Animation,Family",2011,88,1.0
134,Flushed Away,"Adventure,Animation,Comedy,Family",2006,85,0.0
135,Pan,"Adventure,Family,Fantasy",2015,111,1.0
136,Mr. Peabody & Sherman,"Animation,Adventure,Family",2014,92,1.0
137,Troy,"Adventure,Drama,War",2004,163,0.0
138,Madagascar 3 Europe's Most Wanted,"Animation,Family",2012,93,0.0
139,Die Another Day,"Adventure,Action,Thriller",2002,133,0.0
140,Ghostbusters,"Action,Fantasy,Comedy",2016,116,1.0
141,Armageddon,"Action,Thriller,Science Fiction,Adventure",1998,151,1.0
142,Men in Black II,"Action,Adventure,Comedy,Science Fiction",2002,88,0.0
143,Beowulf,"Adventure,Action,Animation",2007,115,0.0
144,Kung Fu Panda 3,"Action,Adventure,Animation,Comedy,Family",2016,95,1.0
145,Mission Impossible  Ghost Protocol,"Action,Thriller,Adventure",2011,133,0.0
146,Rise of the Guardians,"Fantasy,Animation,Family",2012,97,1.0
147,Fun with Dick and Jane,Comedy,2005,90,1.0
148,The Last Samurai,"Drama,Action,War,History",2003,154,0.0
149,Exodus Gods and Kings,"Adventure,Drama,Action",2014,150,0.0
150,Star Trek,"Science Fiction,Action,Adventure",2009,127,0.0
151,SpiderMan,"Fantasy,Action",2002,121,1.0
152,How to Train Your Dragon 2,"Fantasy,Action,Adventure,Animation,Comedy,Family",2014,102,0.0
153,Gods of Egypt,Fantasy,2016,127,1.0
154,Stealth,Action,2005,121,1.0
155,Watchmen,"Action,Mystery,Science Fiction",2009,163,1.0
156,Lethal Weapon 4,"Action,Adventure,Comedy,Crime,Thriller",1998,127,0.0
157,Hulk,"Drama,Action,Science Fiction",2003,138,0.0
158,G.I. Joe Retaliation,"Adventure,Action,Science Fiction,Thriller",2013,110,1.0
159,Sahara,"Action,Adventure,Comedy,Drama,Mystery",2005,124,0.0
160,Final Fantasy The Spirits Within,"Adventure,Action,Animation,Fantasy,Science Fiction,Thriller",2001,106,1.0
161,Captain America The First Avenger,"Action,Adventure,Science Fiction",2011,124,0.0
162,The World Is Not Enough,"Adventure,Action,Thriller",1999,128,0.0
163,Master and Commander The Far Side of the World,Adventure,2003,138,0.0
164,The Twilight Saga Breaking Dawn  Part 2,"Adventure,Fantasy,Drama,Romance",2012,115,0.0
165,Happy Feet Two,"Animation,Comedy,Family",2011,100,0.0
166,The Incredible Hulk,"Science Fiction,Action,Adventure",2008,114,1.0
167,The BFG,"Adventure,Family,Fantasy",2016,120,0.0
168,The Revenant,"Western,Drama,Adventure,Thriller",2015,156,0.0
169,Turbo,"Animation,Family",2013,96,0.0
170,Rango,"Animation,Comedy,Family,Western,Adventure",2011,107,1.0
171,Penguins of Madagascar,"Family,Animation,Adventure,Comedy",2014,92,0.0
172,The Bourne Ultimatum,"Action,Drama,Mystery,Thriller",2007,115,1.0
173,Kung Fu Panda,"Adventure,Animation,Family,Comedy",2008,90,1.0
174,AntMan,"Science Fiction,Action,Adventure",2015,117,1.0
175,The Hunger Games Catching Fire,"Adventure,Action,Science Fiction",2013,146,1.0
176,Home,"Fantasy,Comedy,Animation,Science Fiction,Family",2015,94,0.0
177,War of the Worlds,"Adventure,Thriller,Science Fiction",2005,116,1.0
178,Bad Boys II,"Adventure,Action,Comedy,Thriller,Crime",2003,147,1.0
179,Puss in Boots,"Action,Adventure,Animation,Family,Fantasy",2011,90,1.0
180,Salt,"Action,Mystery,Thriller",2010,100,0.0
181,Noah,"Drama,Adventure",2014,139,1.0
182,The Adventures of Tintin,"Adventure,Animation,Mystery",2011,107,1.0
183,Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy,Family",2004,141,1.0
184,Australia,Drama,2008,165,0.0
185,After Earth,"Science Fiction,Action,Adventure",2013,100,1.0
186,Dinosaur,"Animation,Family",2000,82,0.0
187,Night at the Museum Secret of the Tomb,"Adventure,Comedy,Fantasy,Family",2014,97,1.0
188,Megamind,"Animation,Action,Comedy,Family,Science Fiction",2010,95,0.0
189,Harry Potter and the Philosopher's Stone,"Adventure,Fantasy,Family",2001,152,1.0
190,R.I.P.D.,"Fantasy,Action,Comedy,Crime",2013,96,1.0
191,Pirates of the Caribbean The Curse of the Black Pearl,"Adventure,Fantasy,Action",2003,143,0.0
192,The Hunger Games Mockingjay  Part 1,"Science Fiction,Adventure,Thriller",2014,123,0.0
193,The Da Vinci Code,"Thriller,Mystery",2006,149,1.0
194,Rio 2,"Animation,Adventure,Comedy,Family",2014,102,0.0
195,X2,"Adventure,Action,Science Fiction,Thriller",2003,133,0.0
196,Fast Five,"Action,Thriller,Crime",2011,130,1.0
197,Sherlock Holmes A Game of Shadows,"Adventure,Action,Crime,Mystery",2011,129,1.0
198,Clash of the Titans,"Adventure,Fantasy,Action",2010,106,1.0
199,Total Recall,"Action,Adventure,Science Fiction",1990,113,0.0
200,The 13th Warrior,"Adventure,Fantasy,Action",1999,102,0.0
201,The Bourne Legacy,"Action,Thriller",2012,120,1.0
202,Batman & Robin,"Action,Crime,Fantasy",1997,125,0.0
203,How the Grinch Stole Christmas,"Family,Comedy,Fantasy",2000,104,0.0
204,The Day After Tomorrow,"Action,Adventure,Science Fiction,Thriller",2004,124,0.0
205,Mission Impossible II,"Adventure,Action,Thriller",2000,123,0.0
206,The Perfect Storm,Drama,2000,130,0.0
207,4 Rise of the Silver Surfer,"Adventure,Fantasy,Action,Thriller",2007,92,1.0
208,Life of Pi,"Adventure,Drama,Action",2012,127,0.0
209,Ghost Rider,"Thriller,Action,Fantasy,Horror",2007,114,1.0
210,Jason Bourne,"Action,Thriller",2016,123,1.0
211,Charlie's Angels Full Throttle,"Action,Adventure,Comedy",2003,106,1.0
212,Prometheus,"Science Fiction,Adventure,Mystery",2012,124,1.0
213,Stuart Little 2,"Family,Adventure,Animation,Comedy",2002,78,0.0
214,Elysium,"Science Fiction,Action,Drama,Thriller",2013,109,1.0
215,The Chronicles of Riddick,"Action,Science Fiction",2004,119,0.0
216,RoboCop,"Action,Science Fiction",2014,102,1.0
217,Speed Racer,"Action,Family,Science Fiction",2008,135,1.0
218,How Do You Know,"Comedy,Drama,Romance",2010,121,0.0
219,Knight and Day,"Action,Comedy",2010,109,0.0
220,Oblivion,"Action,Science Fiction,Adventure,Mystery",2013,124,1.0
221,Star Wars Episode III  Revenge of the Sith,"Science Fiction,Adventure,Action",2005,140,1.0
222,Star Wars Episode II  Attack of the Clones,"Adventure,Action,Science Fiction",2002,142,1.0
223,"Monsters, Inc.","Animation,Comedy,Family",2001,92,0.0
224,The Wolverine,"Action,Science Fiction,Adventure,Fantasy",2013,126,0.0
225,Star Wars Episode I  The Phantom Menace,"Adventure,Action,Science Fiction",1999,136,0.0
226,The Croods,"Adventure,Animation,Comedy,Family,Fantasy",2013,98,0.0
227,Windtalkers,"Drama,Action,History,War",2002,134,1.0
228,The Huntsman Winter's War,"Action,Adventure,Drama",2016,114,1.0
229,Teenage Mutant Ninja Turtles,"Science Fiction,Action,Adventure,Fantasy,Comedy",2014,101,1.0
230,Gravity,"Science Fiction,Thriller,Drama",2013,91,0.0
231,Dante's Peak,"Action,Adventure,Thriller",1997,108,1.0
232,Teenage Mutant Ninja Turtles Out of the Shadows,"Fantasy,Action,Adventure,Comedy",2016,112,1.0
233,Fantastic Four,"Action,Adventure,Science Fiction",2015,100,1.0
234,Night at the Museum,"Action,Adventure,Comedy,Family,Fantasy",2006,108,1.0
235,San Andreas,"Action,Drama,Thriller",2015,114,0.0
236,Tomorrow Never Dies,"Adventure,Action,Thriller",1997,119,1.0
237,The Patriot,"Drama,History,War,Action",2000,165,0.0
238,Ocean's Twelve,"Thriller,Crime",2004,125,1.0
239,Mr. & Mrs. Smith,"Action,Comedy,Drama,Thriller",2005,120,1.0
240,Insurgent,"Adventure,Science Fiction,Thriller",2015,119,1.0
241,The Aviator,Drama,2004,170,0.0
242,Gulliver's Travels,Comedy,2010,85,0.0
243,The Green Hornet,"Action,Crime,Comedy",2011,119,0.0
244,300 Rise of an Empire,"Action,War",2014,102,1.0
