,Mood,original_title,id,release_year,genre,overview,runtime,vote_average,budget,revenue
0,Happy,Back to the Future,105,1985,"Adventure,Comedy,Science Fiction,Family","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116.0,8.0,19000000,381109762
1,Happy,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142.0,8.2,55000000,677945399
2,Sad,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142.0,8.2,55000000,677945399
3,Happy,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142.0,8.2,55000000,677945399
4,Inspired,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152.0,8.2,185000000,1004558444
5,Inspired,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152.0,8.2,185000000,1004558444
6,Angry,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152.0,8.2,185000000,1004558444
7,Happy,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123.0,7.7,29000000,115603229
8,Romantic,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123.0,7.7,29000000,115603229
9,Sad,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123.0,7.7,29000000,115603229
10,Emotional,Star Wars,11,1977,"Adventure,Action,Science Fiction",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121.0,8.1,11000000,775398007
11,Happy,Bolt,13053,2008,"Animation,Family,Adventure,Comedy","Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",98.0,6.3,150000000,309979994
12,Sad,Happy Feet,9836,2006,"Animation,Comedy","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",108.0,5.9,100000000,384335608
13,Angry,Mad Max,9659,1979,"Adventure,Action,Thriller,Science Fiction","In a dystopian future Australia, a vicious biker gang murders a cop's family, and makes his fight with them personal.",93.0,6.6,400000,100000000
