,production_companies,release_year,revenue
0,Ingenious Film Partners,2009,2787965087
1,Walt Disney Pictures,2007,961000000
2,Columbia Pictures,2015,880674609
3,Legendary Pictures,2012,1084939099
4,Walt Disney Pictures,2012,284139100
5,Columbia Pictures,2007,890871626
6,Walt Disney Pictures,2010,591794936
7,Marvel Studios,2015,1405403694
8,Warner Bros.,2009,933959197
9,DC Comics,2016,873260194
10,DC Comics,2006,391081192
11,Eon Productions,2008,586090727
12,Walt Disney Pictures,2006,1065659812
13,Walt Disney Pictures,2013,89289910
14,Legendary Pictures,2013,662845518
15,Walt Disney,2008,419651413
16,Paramount Pictures,2012,1519557910
17,Walt Disney Pictures,2011,1045713802
18,Amblin Entertainment,2012,624026776
19,WingNut Films,2014,956019788
20,Columbia Pictures,2012,752215857
21,Imagine Entertainment,2010,310669540
22,WingNut Films,2013,958400000
23,New Line Cinema,2007,372234864
24,WingNut Films,2005,550000000
25,Paramount Pictures,1997,1845034188
26,Studio Babelsberg,2016,1153304495
27,Universal Pictures,2012,303025485
28,Universal Studios,2015,1513528810
29,Columbia Pictures,2012,1108561013
30,Columbia Pictures,2004,783766341
31,Marvel Studios,2013,1215439994
32,Walt Disney Pictures,2010,1025491110
33,Ingenious Film Partners,2006,459359555
34,Walt Disney Pictures,2013,743559607
35,Paramount Pictures,2009,836297228
36,Walt Disney Pictures,2013,491868548
37,Columbia Pictures,2014,705717432
38,Walt Disney Pictures,2010,400062763
39,Walt Disney Pictures,2011,559852396
40,De Line Pictures,2011,219851172
41,Walt Disney Pictures,2010,1066969703
42,Columbia Pictures,2009,371353001
43,Universal Pictures,2015,1506249360
44,Paramount Pictures,2013,531865000
45,Twentieth Century Fox Film Corporation,2014,747862775
46,Paramount Pictures,2013,467365246
47,New Line Cinema,2013,197687603
48,Village Roadshow Pictures,2013,351040419
49,Walt Disney Pictures,2010,335154643
50,Legendary Pictures,2013,407602906
51,Paramount Pictures,2011,1123746996
52,Lucasfilm,2008,786636033
53,Walt Disney Pictures,2015,331926147
54,Walt Disney Pictures,2012,538983207
55,Paramount Pictures,2016,343471816
56,Walt Disney Pictures,2008,521311860
57,New Line Cinema,2007,258022233
58,Walt Disney,2009,325233863
59,Village Roadshow Pictures,2015,183987723
60,Village Roadshow Pictures,2016,356743061
61,Walt Disney,2005,748806957
62,Twentieth Century Fox Film Corporation,2016,543934787
63,DC Comics,2008,1004558444
64,Pixar Animation Studios,2009,735099082
65,DreamWorks Animation,2009,381509870
66,Marvel Studios,2008,585174222
67,Paramount Pictures,2011,185770160
68,Todman,1999,222104681
69,DC Comics,2016,745000000
70,Columbia Pictures,2007,173000000
71,Village Roadshow Pictures,2014,370541256
72,Universal Pictures,1995,264218220
73,Paramount Pictures,2009,302469017
74,Walt Disney Pictures,2015,857611174
75,Walt Disney Pictures,2016,966550600
76,Marvel Studios,2010,623933331
77,Universal Pictures,2012,396600000
78,Walt Disney Pictures,2014,758539785
79,Ingenious Media,2014,710644566
80,Mid Atlantic Films,2013,150962475
81,Marvel Studios,2014,714766572
82,DreamWorks Animation,2010,752600867
83,Walt Disney Pictures,2014,652105443
84,Walt Disney Animation Studios,2012,471222889
85,Golden Mean,2004,305875730
86,Twentieth Century Fox Film Corporation,2016,389681935
87,DreamWorks Animation,2010,494878759
88,Columbia Pictures,2003,435000000
89,Marvel Studios,2014,773328629
90,Paramount Pictures,2014,675120017
91,WingNut Films,2012,1021103568
92,Universal Pictures,2001,207283925
93,Paramount Pictures,2008,333932083
94,Ingenious Film Partners,2011,353624124
95,Studio Babelsberg,2015,653428261
96,Walt Disney Pictures,2010,215283742
97,Virtual Studios,2006,181674817
98,Walt Disney Pictures,2016,299370084
99,DreamWorks SKG,2007,798958165
100,Universal Pictures,2016,433677183
101,Paramount Pictures,2015,440603537
102,Dune Entertainment,2010,415686217
103,Jerry Bruckheimer Films,2001,449220945
104,Paramount Pictures,2007,709709780
105,France 3 Cinma,2004,167298192
106,Warner Bros.,2007,938212738
107,Patalex IV Productions Limited,2005,895921036
108,Columbia Pictures,2008,624029371
109,Village Roadshow Pictures,2007,585349010
110,Village Roadshow Pictures,2005,474968763
111,Walt Disney Pictures,2007,623722818
112,DC Comics,2005,374218673
113,DreamWorks Animation,2008,603900354
114,Twentieth Century Fox Film Corporation,2009,413106170
115,Ingenious Film Partners,2009,373062864
116,Village Roadshow Pictures,2003,424988211
117,Walt Disney Pictures,2013,1274219009
118,Village Roadshow Pictures,2003,738599701
119,Marvel Studios,2013,644571402
120,Village Roadshow Pictures,2015,378858340
