,original_title,genre,release_year,runtime,overview,mood
0,Avatar,Action,2009,2.5,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Inspired
1,Pirates of the Caribbean At World's End,Adventure,2007,3.0,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Happy
2,Spectre,Action,2015,2.5,"A cryptic message from Bonds past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Happy
3,The Dark Knight Rises,Action,2012,3.0,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Happy
4,John Carter,Action,2012,2.0,"John Carter is a warweary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Happy
5,SpiderMan 3,Fantasy,2007,2.5,"The seemingly invincible SpiderMan goes up against an allnew crop of villain  including the shapeshifting Sandman. While SpiderMans superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Happy
6,Tangled,Animation,2010,1.5,"When the kingdom's most wantedand most charmingbandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty towerbound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade, complete with a supercop horse, an overprotective chameleon and a gruff gang of pub thugs.",Inspired
7,Avengers Age of Ultron,Action,2015,2.5,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earths Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Happy
8,Harry Potter and the HalfBlood Prince,Adventure,2009,2.5,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the HalfBlood Prince', and begins to learn more about Lord Voldemort's dark past.",Happy
9,Batman v Superman Dawn of Justice,Action,2016,2.5,"Fearing the actions of a godlike Super Hero left unchecked, Gotham Citys own formidable, forceful vigilante takes on Metropoliss most revered, modernday savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than its ever known before.",Happy
10,Superman Returns,Adventure,2006,2.5,"Superman returns to discover his 5year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",Happy
11,Quantum of Solace,Adventure,2008,2.0,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Happy
12,Pirates of the Caribbean Dead Man's Chest,Adventure,2006,2.5,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Happy
13,The Lone Ranger,Action,2013,2.5,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Happy
14,Man of Steel,Action,2013,2.5,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",Happy
15,The Chronicles of Narnia Prince Caspian,Adventure,2008,2.5,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Happy
16,The Avengers,Science Fiction,2012,2.5,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Happy
17,Pirates of the Caribbean On Stranger Tides,Adventure,2011,2.5,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more Blackbeard or the woman from his past.",Happy
18,Men in Black 3,Action,2012,2.0,"Agents J (Will Smith) and K (Tommy Lee Jones) are backin time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him  secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",Happy
19,The Hobbit The Battle of the Five Armies,Action,2014,2.5,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for MiddleEarth falls into Bilbo's hands.",Happy
20,The Amazing SpiderMan,Action,2012,2.5,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance  leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As SpiderMan is set on a collision course with Connors' alter ego, The Lizard, Peter will make lifealtering choices to use his powers and shape his destiny to become a hero.",Happy
21,Robin Hood,Action,2010,2.5,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity romances his widow, Marion and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Happy
22,The Hobbit The Desolation of Smaug,Adventure,2013,2.5,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Happy
23,The Golden Compass,Adventure,2007,2.0,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",Happy
24,King Kong,Adventure,2005,3.0,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",Happy
25,Titanic,Drama,1997,3.0,"84 years later, a 101yearold woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upperclass passengers and her mother, Ruth DeWitt Bukater, and her fiance, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win thirdclass tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 220 in the morning.",Happy
26,Captain America Civil War,Adventure,2016,2.5,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Happy
27,Battleship,Thriller,2012,2.0,"When mankind beams a radio signal into space, a reply comes from Planet G, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiances father, Admiral Shane, expect of him.",Happy
28,Jurassic World,Action,2015,2.0,"Twentytwo years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Happy
