ID,Start time,Completion time,Email,Name,What mood are you in today?,What are your top 5 favourite movies? (Please separate each movie with a comma),Age
1,8/16/22 22:08:49,8/16/22 22:09:10,anonymous,,Happy,abdbfjhsdvfhsdf,18 +
2,8/16/22 22:08:59,8/16/22 22:09:18,anonymous,,Happy,"ABC
ABC
ABC
ABC
ABC",18 +
3,8/17/22 17:43:06,8/17/22 17:44:28,anonymous,,Happy,"Fifty first dates, What they do in the shadows, Avatar, About time, James Bond",18 +
4,8/17/22 17:45:28,8/17/22 17:49:30,anonymous,,Inspired,"I am legend, Aladdin, A quiet place, World War Z, Coco",18 +
5,8/17/22 18:11:20,8/17/22 18:17:48,anonymous,,Thrilled/Excited,"Straight outta Compton, rabbit proof fence, hunger games, never stop stopping, gone girl",18 +
6,8/17/22 18:19:06,8/17/22 18:22:09,anonymous,,Happy,"King Richard, Rocket man, the kings man, Xanadu, the bodyguard",18 +
7,8/17/22 18:19:10,8/17/22 18:23:53,anonymous,,Happy,"2 fast 2 furious, hacksaw ridge, pirates of the Caribbean, the big short, white chicks",18 +
8,8/17/22 18:20:44,8/17/22 18:24:27,anonymous,,Happy,"Gone girl 
The Big Short
Hacksaw Ridge 
Saving Private Ryan 
Law Abiding Citazen ",18 +
9,8/17/22 18:19:34,8/17/22 18:27:26,anonymous,,Happy,"Love actually, Grease, JFK, Die Hard, Kenny ",18 +
10,8/17/22 18:40:18,8/17/22 18:41:46,anonymous,,Inspired,"Pitch perfect, Titanic, Die Hard, My Big Fat Greek Wedding, The Haunting of Hill",18 +
11,8/17/22 18:38:29,8/17/22 18:43:23,anonymous,,Happy,"Back to the Future, Lord of the Rings, The Matrix, Indiana Jones, Knives out",18 +
12,8/17/22 18:49:42,8/17/22 18:51:11,anonymous,,Happy,"Harry potter, beauty and the beast animation, parent trap, percy jackson, fantastic beast and where to find them",18 +
13,8/17/22 18:47:43,8/17/22 18:52:19,anonymous,,Happy,"Forrest Gump,shawshank redemption,eternal sunshine of the spotless mind,love actually,one more chance",18 +
14,8/17/22 19:43:09,8/17/22 19:44:51,anonymous,,Inspired,"Spiderman 1, Spiderman Far from Home, Django Unchained, once upon a time in hollywood, the departed",18 +
15,8/17/22 19:41:42,8/17/22 19:45:15,anonymous,,Happy,"Avengers: Endgame, Spiderman, Inception, The Departed, The Godfather",18 +
16,8/17/22 19:54:58,8/17/22 19:56:34,anonymous,,Happy,"Bourne Identity, Bourne Supremacy, Bourne Ultimatum, Bourne Legacy, jason Bourne",18 +
17,8/17/22 20:04:28,8/17/22 20:07:26,anonymous,,Romantic,"Spiderman, Spiderman 2, Spiderman 3, Amazing Spiderman, Spiderman Homecoming",18 +
18,8/17/22 19:54:00,8/17/22 20:25:56,anonymous,,Emotional,"Amélie, billy elliot, life is beautiful, moulin rouge, the fault in our stars",18 +
19,8/17/22 20:27:55,8/17/22 20:39:18,anonymous,,Happy,"Love actually, sister act, sing 2, singing in the rain,eat pray love ",18 +
20,8/17/22 18:53:06,8/17/22 21:31:08,anonymous,,Inspired,"The Dark Knight, boy in the striped pyjamas, i am sam, inglorious basterds, inception",18 +
21,8/17/22 21:33:04,8/17/22 21:42:40,anonymous,,Happy,"The Notebook, Top Gun2, Avengers, The Green Book and High school musical ",18 +
22,8/18/22 10:04:04,8/18/22 10:15:20,anonymous,,Happy,"Black Cat White Cat, Wind Rises, Grand Budapest Hotel, Hunt for the Wilderpeople, Blade Runner",18 +
23,8/18/22 18:10:31,8/18/22 18:12:32,anonymous,,Emotional,"Star Wars, Star Trek, Indiana Jones,  Bond, Jumanji",18 +
24,8/18/22 18:31:56,8/18/22 18:39:12,anonymous,,Happy,"Ms. Congeniality, Parent Trap, Pride and Prejudice, Second Act, 3 Idiots",18 +
