Mood,Movie,Genre
Inspired,I Am Legend,Drama
Thrilled,Straight Outta Compton,Drama
Happy,2 Fast 2 Furious,Action
Happy,Love Actually,Comedy
Inspired,Pitch Perfect,Comedy
Happy,Back to the Future,Adventure
Happy,Forrest Gump,Comedy
Happy,Love Actually,Comedy
Inspired,The Dark Knight,Drama
Happy,The Notebook,Romance
Emotional,Star Wars,Adventure
Sad,A Walk to Remember,Drama
Happy,Bolt,Animation
Sad,Happy Feet,Animation
Inspired,Dead Poets Society,Drama
Angry,Mad Max,Adventure
Happy,Finding Nemo,Animation
Thrilled,Robin Hood,Action
Romantic,Tangled,Animation
Inspired,The Last Samurai,Drama
Happy,Night at the Museum,Action
Angry,Mad Max,Adventure
Romantic,The Tourist,Action
Sad,The Truman Show,Comedy
Romantic,My Sister's Keeper,Drama
Inspired,Ratatouille,Animation
Thrilled,How to Train Your Dragon 2,Fantasy
Inspired,The Dark Knight,Drama
Angry,8 Mile,Drama
Angry,Django Unchained,Drama
Angry,V for Vendetta,Action
Emotional,I Am Sam,Drama
Sad,Top Gun,Action
Happy,Top Gun,Action
Inspired,Stranger Than Fiction,Comedy
Happy,Top Gun,Action
Romantic,Love Actually,Comedy
Inspired,Ratatouille,Animation
Emotional,The Little Prince,Adventure
Romantic,About a Boy,Drama
Thrilled/Excited,Die Hard,Action
Thrilled/Excited,Batman,Fantasy
Sad,Selena,Drama
Sad,One Day,Drama
Romantic,Becoming Jane,Drama
Romantic,Notting Hill,Romance
Inspired,The Imitation Game,History
Inspired,Coach Carter,Drama
Sad,Room,Drama
Angry,12 Angry Men,Drama
Emotional,Premonition,Thriller
Emotional,Dear John,Drama
Emotional,Love Happens,Drama
Emotional,The Lake House,Romance
Inspired,Aladdin,Animation
Happy,The Big Short,Comedy
Happy,Grease,Romance
Inspired,Titanic,Drama
Emotional,Billy Elliot,Drama
Emotional,Star Trek,Science Fiction
Sad,Me Before You,Drama
Happy,The Emperor's New Groove,Adventure
